longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,location_name
-121.98,37.96,22,2987,520.2,1420,540,3.65,204100,INLAND,"4804 Clayton Rd, Concord, CA 94521, USA"
-117.26,33.2,13,3163,725,1675,629,2.8214,121900,<1H OCEAN,"359 Cobalt Dr, Vista, CA 92083, USA"
-118.21,34.02,43,1811,513,2123,487,1.3615,133300,<1H OCEAN,"Olympic / Grande Vista, Los Angeles, CA 90023, USA"
-117.12,32.69,37,1082,294,1146,265,2.0673,88500,NEAR OCEAN,"1770 Thor St, San Diego, CA 92113, USA"
-122.16,37.45,52,1135,219,441,200,7.5418,492000,NEAR BAY,"555 Lytton Ave, Palo Alto, CA 94301, USA"
-119.51,34.4,24,3422,596,1763,601,5.2039,301300,NEAR OCEAN,"5355 Ogan Rd, Carpinteria, CA 93013, USA"
-117.27,32.85,26,1373,299.4,608,268,4.425,475000,NEAR OCEAN,"Goldfish Point, Coast Walk Trail, San Diego, CA 92037, USA"
-119.97,38.93,24,856,185,388,108,3.1806,107200,INLAND,"1301 Al Tahoe Blvd, South Lake Tahoe, CA 96150, USA"
-117.77,33.54,28,3404,497,1134,466,7.2217,500001,<1H OCEAN,"918 Canyon View Dr, Laguna Beach, CA 92651, USA"
-120.33,37.97,17,2530,526,1024,496,2.0057,118900,INLAND,"19157 Hess Ave, Sonora, CA 95370, USA"
-118.15,34.17,46,2553,558,1740,492,2.0278,127500,<1H OCEAN,"45 E Washington Blvd, Pasadena, CA 91103, USA"
-121.83,37.23,22,5507,841,2785,848,6.0889,245200,<1H OCEAN,"6328 Channel Dr, San Jose, CA 95123, USA"
-117.3,33.06,31,2128,520,1049,485,4.027,290000,NEAR OCEAN,"607 N Vulcan Ave, Encinitas, CA 92024, USA"
-118.19,34.03,31,525,136,627,145,2.6964,125000,<1H OCEAN,"3668 E 5th St, Los Angeles, CA 90063, USA"
-119.03,36.06,36,1925,443,1405,422,2.162,51900,INLAND,"575 Union Ave, Porterville, CA 93257, USA"
-118.13,33.91,35,561,104,261,105,4.9375,183800,<1H OCEAN,"9521 Foster Rd, Downey, CA 90242, USA"
-119.28,35.5,34,1923,379,1101,351,2.4044,65800,INLAND,"168 W Lerdo Hwy, Shafter, CA 93263, USA"
-118.39,34.03,25,3442,1050,1890,914,3.0574,319400,<1H OCEAN,"8945 Ellis Ave, Los Angeles, CA 90034, USA"
-118.22,34.09,45,1072,275,996,243,2.8194,165000,<1H OCEAN,"600 Isabel St, Los Angeles, CA 90065, USA"
-120.68,35.51,17,1701,298,941,293,4.3218,209100,<1H OCEAN,"3775 Arena Ave, Atascadero, CA 93422, USA"
-120.31,36.65,24,943,209,514,156,2.25,76600,INLAND,"MM2Q+2X Tranquillity, CA, USA"
-118.04,33.85,18,3628,546,1922,544,7.5057,328500,<1H OCEAN,"5341 Polis Dr, La Palma, CA 90623, USA"
-121.98,37.27,29,2658,484,1318,498,5.3561,298900,<1H OCEAN,"1682 Fawn Ct, Campbell, CA 95008, USA"
-118.04,33.76,25,4061,545,1623,527,7.1572,294900,<1H OCEAN,"5141 Hartford Way, Westminster, CA 92683, USA"
-120.86,35.4,21,2787,641,1106,501,2.7043,186200,NEAR OCEAN,"485 Jamaica St, Morro Bay, CA 93442, USA"
-118.21,34.1,36,2000,533,1234,535,3.7437,241700,<1H OCEAN,"4516 Clermont St, Los Angeles, CA 90065, USA"
-122.42,37.8,52,2852,581,838,510,8.0755,500001,NEAR BAY,"1249 Filbert St, San Francisco, CA 94109, USA"
-122.17,40.11,24,1631,340,1042,333,1.7708,59000,INLAND,"4R6J+22 Proberta, CA, USA"
-121.48,38.58,42,1823,566,761,503,1.245,137500,INLAND,"712 1/2 19th St, Sacramento, CA 95811, USA"
-118.16,33.96,24,1635,507,2480,481,2.4432,187500,<1H OCEAN,"7912 Gephart Ave, Bell Gardens, CA 90201, USA"
-116.41,33.74,17,4289,893,958,440,2.4659,177800,INLAND,"71-800 CA-111, Rancho Mirage, CA 92270, USA"
-118.28,33.92,39,1274,282,975,277,1.5114,90400,<1H OCEAN,"355 W 124th St, Los Angeles, CA 90061, USA"
-118.2,33.96,41,1512,400,1690,367,3.055,167000,<1H OCEAN,"8176 San Juan Ave, South Gate, CA 90280, USA"
-118.06,34.04,28,1516,363,1011,344,2.6288,160300,<1H OCEAN,"2WQR+X2 South El Monte, CA, USA"
-121.09,38.03,21,2064,342,1021,359,4.517,152200,INLAND,"18550 Baker Rd, Linden, CA 95236, USA"
-118.32,34.1,28,1759,716,1463,620,1.7306,450000,<1H OCEAN,"1563 Gordon St, Los Angeles, CA 90028, USA"
-121.28,38.74,33,4384,778,1775,789,4.05,134700,INLAND,"909 Hillcrest Ave, Roseville, CA 95678, USA"
-118.37,34.08,52,1234,223,543,213,6.0338,423700,<1H OCEAN,"8258 Rosewood Ave, Los Angeles, CA 90048, USA"
-117.98,34.13,37,1447,309,1279,290,4.0083,142900,INLAND,"1919 Delford Ave, Duarte, CA 91010, USA"
-121.82,39.73,33,2242,517,1160,449,1.7426,60300,INLAND,"1309 Jackson St, Chico, CA 95928, USA"
-117.66,34.14,8,1692,253,857,251,6.9418,310500,INLAND,"2110 N San Antonio Ave, Upland, CA 91784, USA"
-118.22,34.05,41,1422,478,1640,434,1.6122,157100,<1H OCEAN,"1545 Michigan Ave, Los Angeles, CA 90033, USA"
-118.3,33.86,35,1511,274,853,308,4.9792,251300,<1H OCEAN,"1400 187th Pl, Gardena, CA 90248, USA"
-117.03,32.73,34,2061,386.4,1169,400,3.5096,142000,NEAR OCEAN,"2269-71 Cypress Ave, Lemon Grove, CA 91945, USA"
-122.17,37.76,40,1685,343,949,342,1.8426,94800,NEAR BAY,"2216 82nd Ave, Oakland, CA 94605, USA"
-115.57,32.85,33,1365,269,825,250,3.2396,62300,INLAND,"307 Imperial Ave, Imperial, CA 92251, USA"
-118.04,34.06,39,1258,245,988,228,3.2132,176100,<1H OCEAN,"2648 Gage Ave, El Monte, CA 91733, USA"
-122.28,37.91,48,2083,298,685,286,7.3089,331200,NEAR BAY,"106 York Ave, Kensington, CA 94708, USA"
-122.49,38.22,33,1486,290,781,274,3.5647,251800,NEAR BAY,"6G96+X2 Temelec, CA, USA"
-117.17,34.51,15,5151,942,2896,897,3.4875,90800,INLAND,"GR5H+XX Apple Valley, CA, USA"
-118.08,33.76,25,1995,637,743,597,1.4617,46900,<1H OCEAN,"13983 Thunderbird Dr, Seal Beach, CA 90740, USA"
-119.52,34.4,20,1834,477,1305,417,3.2125,251000,NEAR OCEAN,"4869 Carpinteria Ave, Carpinteria, CA 93013, USA"
-117.03,33.18,17,5391,886,2732,830,5.1771,212800,<1H OCEAN,"5XJ9+2X Lake Wohlford, Escondido, CA, USA"
-118.43,34.28,30,1384,308,2054,301,3.0132,142600,<1H OCEAN,"11549 Bradley Ave, San Fernando, CA 91340, USA"
-122.31,38.27,34,1748,284,783,303,4.3585,194400,NEAR BAY,"1361 Grandview Dr, Napa, CA 94558, USA"
-121.49,38.5,32,2364,439,1331,449,3.319,84500,INLAND,"2109 56th Ave, Sacramento, CA 95822, USA"
-117.9,34.01,27,1702,381,2091,352,3.7917,131100,<1H OCEAN,"426 Deepmead Ave, La Puente, CA 91744, USA"
-117.98,33.87,29,1310,332,937,294,3.8068,158700,<1H OCEAN,"100 W Commonweath Ave, Fullerton, CA 92833, USA"
-119.7,34.43,52,977,289,412,272,2.125,300000,<1H OCEAN,"515 E Victoria St, Santa Barbara, CA 93103, USA"
-121.77,37.99,4,5623,780,2429,716,5.4409,205100,INLAND,"2813 Bluecurl Ct, Antioch, CA 94531, USA"
-120.39,36.78,11,1947,488,2104,486,1.7184,55200,INLAND,"QJJ6+22 Mendota, CA, USA"
-118.1,33.96,36,1184,240,946,232,4.0357,162500,<1H OCEAN,"9419 Sunglow St, Pico Rivera, CA 90660, USA"
-118.2,33.87,26,703,202,757,212,2.525,155500,<1H OCEAN,"211 E Adams St, Long Beach, CA 90805, USA"
-120.66,35.2,13,5138,713,1838,645,5.9676,380000,NEAR OCEAN,"58XR+X2 Los Ranchos, CA, USA"
-122.45,37.71,52,1658,322,1086,326,3.8583,261600,NEAR OCEAN,"5720 Mission St, San Francisco, CA 94112, USA"
-122.23,37.76,52,1049,185,374,176,4.1458,248500,NEAR BAY,"1536 High St, Alameda, CA 94501, USA"
-120.83,38.74,17,3685,775,1714,734,2.2269,128300,INLAND,"2605 Andler Rd, Placerville, CA 95667, USA"
-121.47,38.55,48,968,310,706,274,0.9948,65400,INLAND,"2947 34th St, Sacramento, CA 95817, USA"
-117.08,32.63,30,2504,559,1827,490,2.6146,159400,NEAR OCEAN,"595 4th Ave, Chula Vista, CA 91910, USA"
-122.33,38.29,14,3541,499,1577,459,5.3351,269900,NEAR BAY,"1291 Thompson Ave, Napa, CA 94558, USA"
-117.97,33.89,15,3801,542,1992,526,9.0683,367400,<1H OCEAN,"1705 Baronet Pl, Fullerton, CA 92833, USA"
-118.44,34.03,37,1193,205,488,224,3.625,357600,<1H OCEAN,"2539 Colby Ave, Los Angeles, CA 90064, USA"
-119.05,35.34,17,2387,437,1204,423,4.0529,106200,INLAND,"4200 Ming Ave, Bakersfield, CA 93309, USA"
-121.91,37.36,42,3224,708,1940,674,3.2153,199700,<1H OCEAN,"1324 Arnold Ave, San Jose, CA 95110, USA"
-117.91,33.91,32,1530,301,666,276,4.125,230200,<1H OCEAN,"808 Larchwood Dr, Brea, CA 92821, USA"
-118.02,34.08,31,2402,632,2830,603,2.3333,164200,INLAND,"4145 Peck Rd, El Monte, CA 91732, USA"
-116.83,32.81,18,2367,402,1021,395,4.8125,210500,<1H OCEAN,"1006 Willson Rd, El Cajon, CA 92019, USA"
-122.27,37.87,35,3218,1108,1675,1000,1.7464,216700,NEAR BAY,"2050 Center St, Berkeley, CA 94704, USA"
-117.02,34.88,18,2127,443,1168,401,3.0313,80000,INLAND,"1220 Oasis Dr, Barstow, CA 92311, USA"
-122.18,37.76,37,1575,358,933,320,2.2917,107000,NEAR BAY,"1615 78th Ave, Oakland, CA 94621, USA"
-122.33,37.39,52,573,102,232,92,6.2263,500001,NEAR OCEAN,"9MRC+22 Woodside, CA, USA"
-118.35,34.16,42,2267,478,1083,458,3.2015,250000,<1H OCEAN,"623 N Priscilla Ln, Burbank, CA 91505, USA"
-122.16,38.02,40,1800,290,761,277,5.1265,196100,NEAR BAY,"2R9Q+XX Martinez, CA, USA"
-117.25,32.79,25,1627,375,735,378,3.6429,317100,NEAR OCEAN,"963 Braemar Ln, San Diego, CA 92109, USA"
-118.21,34.07,47,1346,383,1452,371,1.7292,191700,<1H OCEAN,"3008 Baldwin St, Lincoln Heights, CA 90031, USA"
-122.54,37.96,44,1552,204,596,208,10.129,500001,NEAR BAY,"137 Poplar Dr, Kentfield, CA 94904, USA"
-118.47,34.01,41,2704,557,1047,478,4.4211,462900,<1H OCEAN,"1352 Ocean Park Pl S, Santa Monica, CA 90405, USA"
-122.3,38.32,20,2063,486,1045,460,2.5035,153200,NEAR BAY,"3218 Stuart Way, Napa, CA 94558, USA"
-123.41,40.61,17,769,205,301,126,1.7875,55000,INLAND,"JH6Q+2X Hyampom, CA, USA"
-118.06,34.1,38,3229,636,1599,609,3.8646,257100,<1H OCEAN,"9568 Broadway, Temple City, CA 91780, USA"
-117.08,32.73,36,1158,218,619,233,3.6125,122500,NEAR OCEAN,"2328 54th Frontage St, San Diego, CA 92105, USA"
-122.29,40.47,20,2858,612,1422,589,1.9657,63000,INLAND,"3509 Riverside Dr, Anderson, CA 96007, USA"
-118.3,33.77,18,3821,795,2831,769,2.9571,346200,<1H OCEAN,"2583 Pacific Coast Hwy, Torrance, CA 90505, USA"
-117.2,33.72,16,5373,1079,1573,933,1.9912,98600,<1H OCEAN,"27620 Charlestown Dr, Sun City, CA 92586, USA"
-118.63,34.18,33,5252,760,2041,730,6.7977,389700,<1H OCEAN,"23061 W Oxnard St, Woodland Hills, CA 91367, USA"
-123.19,39.21,22,1542,291,821,285,3.5917,118800,<1H OCEAN,"4400 Lake Ridge Rd, Ukiah, CA 95482, USA"
-117.12,32.75,17,2060,633,1251,602,1.9886,119200,NEAR OCEAN,"3420 University Ave, San Diego, CA 92104, USA"
-121.77,37.74,25,494,81,254,85,9.1531,418800,INLAND,"4936 N Livermore Ave, Livermore, CA 94551, USA"
-118.32,34.09,34,1478,675,1976,653,2.0557,225000,<1H OCEAN,"6000 Santa Monica Blvd, Los Angeles, CA 90038, USA"
-118.07,33.72,32,1179,250,369,209,5.1824,500001,NEAR OCEAN,"3262 Easter Cir, Huntington Beach, CA 92649, USA"
-122.11,37.66,36,1755,316,913,299,4.1302,172700,NEAR BAY,"22699 Blackwood Ave, Hayward, CA 94541, USA"
-117.47,34.06,33,1379,273,884,229,2.7574,125000,INLAND,"10685 Beech Ave, Fontana, CA 92337, USA"
-117.29,34.15,42,1811,345,856,352,2.9667,97000,INLAND,"3224 N Arrowhead Ave, San Bernardino, CA 92405, USA"
-121.26,38.66,19,3170,444,1344,452,6.1183,221600,INLAND,"8142 Molokai Way, Fair Oaks, CA 95628, USA"
-120.09,36.19,12,1923,559,2809,535,1.4191,55100,INLAND,"5WQ6+X2 Huron, CA, USA"
-122.49,38.27,8,5092,988,1657,936,3.5625,213200,NEAR BAY,"1100 Leveroni Rd, Sonoma, CA 95476, USA"
-122.29,38.4,28,2024,340,844,309,4.7833,361100,INLAND,"CP25+2X Napa Soda Springs, CA, USA"
-122.43,37.72,52,2206,478,1583,456,3.7105,250500,NEAR BAY,"508 Athens St, San Francisco, CA 94112, USA"
-122.25,37.83,52,1279,287,534,291,3.1429,231600,NEAR BAY,"190 John St, Oakland, CA 94611, USA"
-121.53,39.53,35,1806,293,683,295,4.5156,91200,INLAND,"286 Fernwood Ave, Oroville, CA 95966, USA"
-117.08,32.78,21,2919,496,984,443,4.625,222800,NEAR OCEAN,"5503 Adobe Falls Rd, San Diego, CA 92120, USA"
-122.49,37.69,36,1344,258,782,265,4.5,275600,NEAR OCEAN,"766 Southgate Ave, Daly City, CA 94015, USA"
-121.57,39.16,21,1872,302,870,301,3.725,84700,INLAND,"1112 Arthur St, Marysville, CA 95901, USA"
-118.02,34.08,29,2741,667,2449,677,3.6944,175200,INLAND,"4145 Peck Rd, El Monte, CA 91732, USA"
-118.28,34.07,24,3247,1281,2642,1182,2.4632,216700,<1H OCEAN,"122 S Occidental Blvd, Los Angeles, CA 90057, USA"
-122.44,37.8,52,3830,878,1310,963,3.4801,500001,NEAR BAY,"2229-2231 Chestnut St, San Francisco, CA 94123, USA"
-122.64,41.73,36,3319,664,1492,631,1.8694,71200,INLAND,"411 Butte St, Yreka, CA 96097, USA"
-118.16,34.01,36,931,246,732,235,1.7679,142800,<1H OCEAN,"5260 Triggs St, Commerce, CA 90022, USA"
-117.18,34.06,52,954,233,533,239,1.3021,100000,INLAND,"510 6th St, Redlands, CA 92374, USA"
-117.93,33.78,36,2169,359,1018,370,4.3906,231300,<1H OCEAN,"12611 George St, Garden Grove, CA 92840, USA"
-120.65,38.5,10,1783,337,638,262,2.65,116700,INLAND,"20206 Fiddletown Rd, Volcano, CA 95689, USA"
-117.1,32.71,9,1931,472,1628,445,2.085,92600,NEAR OCEAN,"4377 J St, San Diego, CA 92102, USA"
-118.24,34.13,37,1644,395,959,383,3.3636,257700,<1H OCEAN,"1120 Yale Dr, Glendale, CA 91205, USA"
-120.06,39.09,30,2979,583,316,124,2.1987,124000,INLAND,"3WRR+22 Tahoma, CA, USA"
-117.85,33.79,40,1251,336,729,343,2.4688,236400,<1H OCEAN,"335 E Maple Ave, Orange, CA 92866, USA"
-117.98,33.66,26,3527,547,1615,542,6.1624,279400,<1H OCEAN,"20832 Mission Ln, Huntington Beach, CA 92646, USA"
-124.05,40.59,32,1878,340,937,353,3.4408,95200,<1H OCEAN,"HXR2+22 Hydesville, CA, USA"
-121.97,37.55,17,4924,1247,3080,1182,3.168,189400,<1H OCEAN,"2450 Stevenson Blvd, Fremont, CA 94538, USA"
-119.06,36.15,20,1282,273,852,247,1.6354,49000,INLAND,"19834 Guthrie Dr, Strathmore, CA 93267, USA"
-118.42,34.16,28,4664,1040,1963,961,3.9028,367900,<1H OCEAN,"13150 Morrison St, Sherman Oaks, CA 91423, USA"
-122.56,38.41,20,1151,211,478,183,5.93,384600,<1H OCEAN,"CC5R+X2 Kenwood, CA, USA"
-118.34,34.12,41,3257,679,1237,638,4.2415,409600,<1H OCEAN,"711 Wright Ln, Los Angeles, CA 90068, USA"
-122.33,40.47,30,2502,523,1296,481,2.125,66100,INLAND,"6250 Parallel Rd, Anderson, CA 96007, USA"
-118.29,34.03,38,1501,437,1777,441,2.0848,135200,<1H OCEAN,"2712 Menlo Ave, Los Angeles, CA 90007, USA"
-118.39,34.16,20,4084,1062,1637,987,3.2388,256300,<1H OCEAN,"4915 Morella Ave, Valley Village, CA 91607, USA"
-121.29,37.96,52,287,119,154,85,0.8738,75000,INLAND,"209 E Park St, Stockton, CA 95202, USA"
-121.8,37.31,21,2630,446,1789,389,5.0543,232000,<1H OCEAN,"2101 Saffarian Ct, San Jose, CA 95121, USA"
-118.13,33.97,36,1759,295,837,267,4.6992,251900,<1H OCEAN,"6481 Dos Rios Rd, Downey, CA 90240, USA"
-118.22,33.9,30,1007,260,1112,238,1.7262,115600,<1H OCEAN,"600 N Alameda St, Compton, CA 90221, USA"
-121.87,39.74,7,1737,290,747,265,3.9,147000,INLAND,"1061 Windsor Way, Chico, CA 95926, USA"
-122.42,37.93,47,3453,779,1353,728,4.016,274500,NEAR BAY,"WHJJ+22 Richmond, CA, USA"
-121.95,37.74,19,1127,170,518,167,6.3325,250000,<1H OCEAN,"9754 Davona Dr, San Ramon, CA 94583, USA"
-124.02,40.8,22,2588,435,1198,442,3.9792,133900,<1H OCEAN,"4538 Greenwood Heights Dr, Kneeland, CA 95549, USA"
-121.82,38.01,25,3018,606,1614,568,3.4722,127000,INLAND,"1101 L St, Antioch, CA 94509, USA"
-118.39,34.17,28,2790,748,1351,697,3.2052,283600,<1H OCEAN,"5445 Morella Ave, Valley Village, CA 91607, USA"
-121.93,37.53,27,5532,973,2855,960,4.7478,243500,<1H OCEAN,"43367 Gallegos Ave, Fremont, CA 94539, USA"
-119.09,36.21,43,1335,280,943,288,1.9861,47700,INLAND,"681 N Gale Hill Ave, Lindsay, CA 93247, USA"
-120.41,34.86,15,978,187,407,182,4.375,158000,<1H OCEAN,"1385 Olive Hill Rd, Santa Maria, CA 93455, USA"
-122.19,39.92,20,2563,658,1363,611,1.023,54200,INLAND,"1624 Houghton Ave, Corning, CA 96021, USA"
-118.99,35.4,48,1908,331,789,321,3.5714,84600,INLAND,"2870 Skyline Blvd, Bakersfield, CA 93305, USA"
-121.29,38.14,34,2770,544,1409,535,3.2338,101800,INLAND,"412 N Pacific Ave, Lodi, CA 95242, USA"
-117.06,32.64,30,4494,667,1883,680,5.766,186100,NEAR OCEAN,"169 Via De Laurencio, Chula Vista, CA 91910, USA"
-117.37,33.95,32,2215,351,771,311,4.3542,142600,INLAND,"2695 Laramie Rd, Riverside, CA 92506, USA"
-121.27,37.96,43,948,221,749,208,1.962,52700,INLAND,"343 N Locust St, Stockton, CA 95205, USA"
-118.14,34.17,34,2384,604,2073,540,2.3062,158000,<1H OCEAN,"518 E Rio Grande St, Pasadena, CA 91104, USA"
-117.24,34.06,9,3603,786,1782,718,3.2604,93300,INLAND,"25869 Lomas Verdes St, Redlands, CA 92373, USA"
-119.41,36.68,18,1802,332,945,292,3.4044,115300,INLAND,"MHJR+22 Navelencia, CA, USA"
-121.44,38.54,44,2570,509,1145,503,2.5694,92400,INLAND,"5700 13th Ave, Sacramento, CA 95820, USA"
-122.3,37.53,40,1833,308,751,306,6,384200,NEAR OCEAN,"231 W 39th Ave, San Mateo, CA 94403, USA"
-120.63,35.13,16,2680,704,975,619,1.7878,55000,<1H OCEAN,"160 Carmelde Ln, Grover Beach, CA 93433, USA"
-121.89,38.02,36,2707,550,1827,545,3.3371,94600,INLAND,"45 Civic Ave, Pittsburg, CA 94565, USA"
-120.04,36.74,14,3182,730,2298,721,1.6168,71800,INLAND,"PXQ6+X2 Kerman, CA, USA"
-117.05,32.76,37,4879,906,2076,871,3.6625,154800,NEAR OCEAN,"4517 Toni Ln, La Mesa, CA 91942, USA"
-121.93,37.71,26,4822,845,2288,805,4.2281,206000,<1H OCEAN,"7557 Amador Valley Blvd, Dublin, CA 94568, USA"
-119.77,36.76,40,2009,519,2219,505,1.2101,49100,INLAND,"3244 E Lamona Ave, Fresno, CA 93703, USA"
-118.37,33.87,19,757,148,361,141,6.02,304200,<1H OCEAN,"2305 Rockefeller Ln, Redondo Beach, CA 90278, USA"
-118.16,34.17,46,1508,261,674,255,3.5909,155400,<1H OCEAN,"1383 Lincoln Ave, Pasadena, CA 91103, USA"
-121.32,38.61,22,3902,845,1870,763,2.774,190200,INLAND,"6229 Van Alstine Ave, Carmichael, CA 95608, USA"
-118.28,33.99,37,1971,513,1673,464,1.4625,103000,<1H OCEAN,"375 W 58th St, Los Angeles, CA 90037, USA"
-119.01,35.24,6,80,16,66,21,3.125,65000,INLAND,"6XQQ+XX Alameda, CA, USA"
-122.49,37.74,52,2302,457,1154,424,4.5744,315200,NEAR OCEAN,"2530 33rd Ave, San Francisco, CA 94116, USA"
-118.12,33.88,36,1083,218,557,210,3.0795,218400,<1H OCEAN,"10024 Walnut St, Bellflower, CA 90706, USA"
-120.1,36.16,17,598,160,715,146,2.3295,55000,INLAND,"5W52+X2 Huron, CA, USA"
-120.8,38.31,37,1341,256,533,242,3.2135,123600,INLAND,"8662+22 Jackson, CA, USA"
-117.86,33.79,34,1883,408,1227,424,3.8929,187500,<1H OCEAN,"709 W Maple Ave, Orange, CA 92868, USA"
-118.28,34.18,52,2602,418,1137,419,5.3185,358000,<1H OCEAN,"1510 Western Ave, Glendale, CA 91201, USA"
-118.14,34.05,39,1880,367,954,349,3.875,236400,<1H OCEAN,"921 De La Fuente St, Monterey Park, CA 91754, USA"
-122.24,38.13,37,3223,564,1325,539,4.0938,126900,NEAR BAY,"115 Oddstad Dr, Vallejo, CA 94589, USA"
-117.22,32.78,22,2020,466,1010,429,3.4527,175000,NEAR OCEAN,"QQJH+2X San Diego, CA, USA"
-120.8,37.61,30,918,154,469,139,3.9688,175000,INLAND,"J652+X2 Waterford, CA, USA"
-121.4,38.49,12,7290,1283,3960,1248,3.5968,106300,INLAND,"7363 Robshell Ct, Sacramento, CA 95828, USA"
-122.46,37.72,39,2254,533.8,1388,404,2.9688,232000,NEAR OCEAN,"288 Faxon Ave, San Francisco, CA 94112, USA"
-119.72,36.76,23,6403,1286.4,3573,1260,2.3006,69000,INLAND,"5164 E Lamona Ave, Fresno, CA 93727, USA"
-122.41,37.74,52,831,175,415,159,1.9464,249000,NEAR BAY,"1425 Cortland Ave, San Francisco, CA 94110, USA"
-118.13,33.86,45,1320,256,645,256,4.4,209500,<1H OCEAN,"South & Pearce SE, Lakewood, CA 90712, USA"
-119.83,36.78,30,3162,640,1660,639,2.8359,80300,INLAND,"1603 W Andrews, Fresno, CA 93705, USA"
-118.09,33.91,34,1582,343,1356,324,3.4211,141100,<1H OCEAN,"11432 Foster Rd, Norwalk, CA 90650, USA"
-121.75,36.92,46,1362,321,1068,305,2.4615,177800,<1H OCEAN,"55 Hill Ave, Watsonville, CA 95076, USA"
-117.38,33.2,17,1877,581,1288,426,1.9386,106300,NEAR OCEAN,"710 Sportfisher Dr, Oceanside, CA 92054, USA"
-122.37,41.41,28,1729,419,929,370,1.27,53100,INLAND,"474 Heather Pl, Weed, CA 96094, USA"
-122.12,37.91,34,5683,755,1962,723,8.3678,455300,NEAR BAY,"WV5J+X2 Lafayette, CA, USA"
-118.22,34.07,36,839,250,1079,245,1.7463,158300,<1H OCEAN,"302 S Ave 19, Lincoln Heights, CA 90031, USA"
-119.55,37.75,30,2165,536,1500,414,3.5391,55900,INLAND,"QF22+22 Yosemite Valley, CA, USA"
-117.11,32.75,46,695,182,601,195,2.4219,90600,NEAR OCEAN,"3910 University Ave #100, San Diego, CA 92105, USA"
-118.73,34.27,25,3409,493,1699,484,5.653,225800,<1H OCEAN,"1843 Moreno Dr, Simi Valley, CA 93063, USA"
-121.32,38.62,33,898,190,470,201,2.6897,148300,INLAND,"6220 Kiernan Dr, Carmichael, CA 95608, USA"
-119.07,35.27,25,3081,635,1830,591,2.5804,97900,INLAND,"6000 Provincetown Ave, Bakersfield, CA 93313, USA"
-117.66,33.61,17,3464,519,1713,530,6.0471,248400,<1H OCEAN,"24311 Cataluna Cir, Mission Viejo, CA 92691, USA"
-117.38,33.2,26,1427,386,974,317,1.3903,184400,NEAR OCEAN,"710 Sportfisher Dr, Oceanside, CA 92054, USA"
-118.46,33.99,44,1122,287,531,256,4.0598,335900,<1H OCEAN,"660 S Venice Blvd, Venice, CA 90291, USA"
-115.5,32.75,13,330,72,822,64,3.4107,142500,INLAND,"405 E McCabe Rd, Heber, CA 92249, USA"
-117.91,33.81,18,1181,353,781,340,2.5625,153100,<1H OCEAN,"1515 S Manchester Ave, Anaheim, CA 92802, USA"
-121.23,37.95,32,2081,472,1342,411,2.7958,59000,INLAND,"4237 Brown Ln, Stockton, CA 95215, USA"
-119.23,34.25,28,26,3,29,9,8,275000,NEAR OCEAN,"2550 Eastman Ave, Ventura, CA 93003, USA"
-116.9,33.74,14,2281,426,894,430,2.3712,127900,INLAND,"26288 Century Ct, Hemet, CA 92544, USA"
-122.19,37.79,47,1229,243,582,256,2.9514,198100,NEAR BAY,"3859 High St, Oakland, CA 94619, USA"
-118.36,33.96,37,2146,573,2009,592,3.6583,177300,<1H OCEAN,"309 Nectarine St, Inglewood, CA 90301, USA"
-122.68,38.46,17,3201,527,1244,495,4.7143,202900,<1H OCEAN,"820 Shady Oak Dr, Santa Rosa, CA 95404, USA"
-117.09,32.57,17,444,83,357,87,5.1478,138900,NEAR OCEAN,"2031 Ilex Ave, San Diego, CA 92154, USA"
-117.55,34.14,3,5710,919,2874,886,5.3638,206300,INLAND,"6298 Mt Pinos Ct, Rancho Cucamonga, CA 91737, USA"
-122.05,37.87,30,2296,329,847,322,6.7192,397500,NEAR BAY,"397 Crest Ave, Alamo, CA 94507, USA"
-119.02,35.37,44,2687,620,1521,549,1.7213,61600,INLAND,"1312 Eye St, Bakersfield, CA 93301, USA"
-122.11,37.88,37,4005,614,1602,606,6.4666,348200,NEAR BAY,"3391 Sweet Dr, Lafayette, CA 94549, USA"
-117.38,34.2,16,193,45,312,76,3.7578,137500,INLAND,"19455 Cajon Blvd, San Bernardino, CA 92407, USA"
-122.54,37.7,36,3988,732,1793,708,4.2472,292500,NEAR OCEAN,"MFX6+X2 Daly City, CA, USA"
-123.34,39.5,15,2342,535,1064,433,1.8967,96600,INLAND,"GM26+22 Brooktrails, CA, USA"
-117.35,34.01,23,3707,769,1938,658,2.725,95300,INLAND,"759 Kelly Ln, Riverside, CA 92501, USA"
-121.25,38.03,29,2465,327,859,315,6.6605,220700,INLAND,"8977 Maranon Dr, Stockton, CA 95212, USA"
-118.39,34.05,47,1621,314,724,311,5.7509,474100,<1H OCEAN,"9233 Airdrome St, Los Angeles, CA 90035, USA"
-117.1,34.21,22,4397,931,1145,445,4.5268,108400,INLAND,"6W62+22 Running Springs, CA, USA"
-123.01,38.67,33,914,147,394,132,4.6875,246200,<1H OCEAN,"MXCR+22 Geyserville, CA, USA"
-118.1,33.79,35,2370,379,996,380,5.7368,287200,<1H OCEAN,"1836 Petaluma Ave, Long Beach, CA 90815, USA"
-119.02,35.38,48,346,92,129,63,1.1875,63800,INLAND,"1531 23rd St, Bakersfield, CA 93301, USA"
